,pid
194,0783240066
195,0783234287
196,0783210973
197,0783241313
198,0783230486
199,0783235380
200,0783229712
201,0783239408
202,0783226993
203,078322947X
204,0783235410
205,0783245130
206,078322740X
207,0783243499
208,0783235615
209,0783235674
210,0783116926
211,0783227922
212,0783229399
213,0784001308
214,0784011370
215,078400949X
216,0784013470
217,0784011680
218,0784017808
219,0784011532
220,0784017956
221,0784010331
222,0784017875
223,0784011249
224,0784017964
225,0784011648
226,0788600931
227,0788606344
228,0788810634
229,0788812467
230,0788821075
231,0788857746
232,078885383X
233,0788815474
234,078887148X
235,078882273X
236,0788872796
237,0788812262
238,0788860119
239,0788832182
240,0788802194
241,0788812424
242,0788861956
243,0788832492
244,0788814664
245,0790724960
246,0790732548
247,0790732521
248,079073124X
249,0790731266
250,0790732181
251,0790729687
252,0790731215
253,0790732300
254,0790733919
255,0790733226
256,0790732432
257,0790729733
258,0790734419
259,0790725657
260,0790729709
261,0790729342
262,0790729989
263,0790729377
264,0790729644
265,0790731797
266,0790733927
267,0790729628
268,0790732149
269,0790736063
270,0790739313
271,0790737744
272,0790740281
273,079073463X
274,0790740664
275,0790734737
276,0790740451
277,0790736977
278,0790740443
279,0790737647
280,0790731517
281,0790741288
282,079073608X
283,0790743213
284,0790741067
285,0790741644
286,0790744813
287,0790743442
288,0790744929
289,0790748193
290,0790731614
291,0790750732
292,0790744236
293,0790751569
294,0790748266
295,079072961X
296,0790741431
297,0790742462
298,0790744546
299,0790750414
300,0790734966
301,0790757354
302,0790785366
303,0790737868
304,079075181X
305,079079568X
306,0790745003
307,0790751445
308,0790741296
309,0790751143
310,079074886X
311,0790746387
312,079074676X
313,0790736527
314,0792115465
315,0792151712
316,0792153456
317,0792143817
318,0792146433
319,0792102320
320,0792158202
321,0792157850
322,0792153189
323,0792145496
324,0792146344
325,0792160347
326,0792110188
327,0792160932
328,0792165039
329,0792171306
330,0792166736
331,0792199405
332,0792153677
333,0792153685
334,0792166523
335,0792145097
336,0792292553
337,0792834976
338,0792834933
339,0792833201
340,0792836030
341,0792834917
342,0792836529
343,0792837746
344,0792838955
345,0792836618
346,079283948X
347,0792836685
348,079283514X
349,0792840119
350,0792837398
351,0792838653
352,0792839129
353,0792841905
354,0792842162
355,079284209X
356,0792840984
357,0792840011
358,0792838726
359,0792843991
360,0792843800
361,0792843894
362,0792843967
363,0792839684
364,0792838947
365,0792838661
366,0792843622
367,0792844718
368,0792844025
369,0792842111
370,079284565X
371,0792841409
372,0792842626
373,0792845552
374,0792846133
375,0792841980
376,0792846605
377,0792844734
378,0792842154
379,0792844033
380,0792845900
381,0792844041
382,0792899768
383,0792842006
384,0792899075
385,0792844645
386,0792898524
387,0792899458
388,0792898702
389,0792845870
390,0792845242
391,0792839420
392,0792844785
393,0792899229
394,0792841840
395,0792845765
396,0792839072
397,0792899806
398,0793906091
399,079396041X
400,079398257X
401,0793984297
402,0793961009
403,0793927536
404,0793927714
405,0800112652
406,0800114051
407,0800111842
408,0800129016
409,0800141709
410,0800177029
411,0800129784
412,0800116143
413,0800127943
414,0800141741
415,0800104862
416,0800121260
417,0800180429
418,0800139062
419,0800115066
420,0800198840
421,0800135547
422,0800136926
423,0800141660
424,0842375619
425,0842526919
426,084252455X
427,0849922372
428,0849986761
429,0870204556
430,0874934648
431,0892216972
432,0898706939
433,093085280X
434,0935278591
435,0936184906
436,0941232131
437,0941283186
438,0945671873
439,0949906980
440,0956310117
441,0963093932
442,0964083817
443,0964500094
444,0966063341
445,0966296400
446,0966531248
447,0966691105
448,0967124816
449,0967418518
450,0967501032
451,096751780X
452,0967830206
453,0970103905
454,097013830X
455,0970662408
456,0970742231
457,0971098220
458,0971098212
459,0971098255
460,097131649X
461,0971366306
462,0971744319
463,0972043306
464,0972597506
465,0973323396
466,097369470X
467,0974510300
468,0975061968
469,0976202468
470,0976233916
471,0976731096
472,0979927900
473,0981460224
474,0981458971
475,0784010447
476,0982153309
477,0982939876
478,0982982224
479,0983298122
480,0984301801
481,0988187469
482,098828278X
483,0849975034
484,0001526863
485,0784017735
486,0757990290
487,0898707145
488,1401927297
489,1401926339
490,1401926436
491,1403143609
492,140498822X
493,1415723427
494,0780630548
495,1424819210
496,078885996X
497,0964278928
498,0005000009
499,0973005009
500,0782009328
501,0792154436
502,0740319140
503,0790747693
504,1556586892
505,1557396248
506,1557840873
507,1558804641
508,1558908676
509,1558908382
510,1559409002
511,155940860X
512,1559408758
513,1559408677
514,1560154012
515,1560396474
516,1560395907
517,1560396539
518,1560689994
519,1561270563
520,1561080004
521,1561589578
522,1562022393
523,1562196308
524,1562199730
525,1562196367
526,1562021907
527,1562196650
528,1562550888
529,1563311976
530,1563452685
531,1563453789
532,156371616X
533,156501345X
534,156580211X
535,1565855744
536,1565859723
537,1565856635
538,1566053692
539,1566053986
540,1566331803
541,1567301614
542,1567301568
543,1567301789
544,1567301606
545,1567301355
546,1568124945
547,1568327730
548,1568392273
549,1568556829
550,0790740672
551,1569382964
552,1569383790
553,1569388997
554,1569389063
555,1569383529
556,1569385939
557,1569388059
558,1569381976
559,1569383472
560,1569388431
561,156949407X
562,1571196927
563,1571323848
564,1571322728
565,1571208526
566,1571323368
567,1571320377
568,1571324127
569,1571324240
570,157132528X
571,1572521252
572,1572521279
573,1572523018
574,1572521473
575,1572521783
576,1572520639
577,1572522178
578,1572522747
579,1572524421
580,1572524359
581,1572521597
582,1572522410
583,1572521368
584,1572522828
585,1572521384
586,1572525401
587,1572525959
588,1572522380
589,1572523255
590,1572526564
591,1572527242
592,1572521767
593,1572522224
594,1572523026
595,1572524537
596,1572524413
597,1572522321
598,1572525509
599,1572522402
600,1572528338
601,1572522127
602,1572523573
603,1572525525
604,157252765X
605,1572522445
606,1572522232
607,1572522550
608,157252250X
609,1573305723
610,1573305766
611,1573307386
612,1573303585
613,1573309869
614,1573301043
615,1573309966
616,1573305588
617,1573300985
618,1573300357
619,1573306932
620,1573306983
621,1573300470
622,1573309885
623,1573301507
624,1573309982
625,1573301469
626,1573470589
627,1573470988
628,1573472093
629,157347049X
630,1573471194
631,1573623008
632,1573470767
633,1573470821
634,1573624071
635,1573624365
636,1573626481
637,1573626910
638,1573626163
639,157362408X
640,1573624802
641,157362554X
642,157347181X
643,1573623946
644,1573628042
645,1573627089
646,157362389X
647,1573629774
648,1573624101
649,1573623903
650,1573624160
651,1573626171
652,1573624977
653,1573471917
654,157347228X
655,1573624292
656,1573471070
657,1573628174
658,157492463X
659,1574922777
660,1574924486
661,1574924656
662,1574927302
663,1574925784
664,157492432X
665,1574924451
666,1574922815
667,1574922807
668,1574928228
669,1574928295
670,1575237555
671,157523730X
672,1575237466
673,1574920855
674,1575239701
675,1575233452
676,1575235846
677,1576181006
678,1577133196
679,1577138112
680,157742154X
681,1577422821
682,1577423232
683,1577421531
684,1578004306
685,1578002230
686,1578071976
687,1578071461
688,1578213959
689,1578212308
690,1578214696
691,1578482135
692,157848300X
693,1578482305
694,1578483050
695,1578482909
696,1578482984
697,1578482895
698,1578482739
699,1578900026
700,1578900018
701,1582704147
702,1582704708
703,1582705674
704,1583500251
705,1583500561
706,1584480408
707,1584481358
708,1586171941
709,1586551043
710,1586683950
711,1587270811
712,1591259886
713,1591796946
714,1592180418
715,1594444536
716,1596982004
717,1596982012
718,1598038990
719,1601400748
720,1603584803
721,1603993428
722,1603996796
723,1603993266
724,1604865229
725,160529893X
726,1605290572
727,1606732439
728,1608618897
729,1612387292
730,1421367912
731,1578482224
732,1627590803
733,1629971804
734,1629970484
735,1629971340
736,0005164850
737,1880336499
738,1885955006
739,1888568003
740,1888617098
741,188916514X
742,1891252135
743,1892309165
744,1896306918
745,1896306292
746,1896306071
747,1896306993
748,1897020600
749,1921643870
750,1930004540
751,1930612001
752,1932134670
753,1932225285
754,1932645446
755,1933424478
756,1933424338
757,1933591005
758,1578216095
759,1935515535
760,1936488264
761,193648806X
762,1936488191
763,1936906309
764,1937825469
765,1937920119
766,1938067517
767,193834037X
768,0740309323
769,381409011X
770,3812900319
771,3918810143
772,5551037568
773,5550137976
774,5553615429
775,5550211793
776,5555221916
777,5552439538
778,5554454828
779,5555084080
780,5555291744
781,5558279494
782,5554452574
783,555402128X
784,5559477400
785,5553799260
786,555987308X
787,5559203726
788,5559571741
789,5553646839
790,5559921009
791,5559778273
792,5819906179
793,581990608X
794,5819906586
795,5556000948
796,5819907027
797,6160601083
798,6162251020
799,6163271416
800,6162251012
801,6115220017
802,6163876032
803,6160418289
804,6165010083
805,6300132838
806,6300133257
807,6300133737
808,6300129373
809,616344261X
810,6165155901
811,6300133133
812,6300137236
813,6300134938
814,6300137171
815,630014738X
816,6300134210
817,6300146464
818,6300133486
819,630014996X
820,6300150151
821,6300146421
822,6300138429
823,6300147274
824,6300128628
825,630013718X
826,630012861X
827,6300134318
828,6300142256
829,6300137376
830,6300147444
831,6300149978
832,6300147630
833,6300159140
834,6300155447
835,6300147789
836,6300157601
837,6300147487
838,6300131076
839,6300155919
840,6300164616
841,630015467X
842,6300158888
843,6300141012
844,6300158411
845,6300132641
846,6300160270
847,630015386X
848,6300165760
849,6300146057
850,6300163962
851,630016389X
852,6300137511
853,6300166139
854,6300153029
855,6300147967
856,6300180247
857,6300145786
858,6300166651
859,6300181316
860,6300164373
861,6300165302
862,6300164063
863,6300167003
864,6300178161
865,6300181227
866,6300181847
867,6300151875
868,6300158772
869,6300152618
870,6300134865
871,6300181375
872,6300163687
873,6300158500
874,6300181731
875,6300151360
876,6300151891
877,6300158926
878,630018191X
879,6300181545
880,6300181898
881,6300158764
882,6300151484
883,6300165086
884,6300140938
885,6300181987
886,6300158349
887,6300181065
888,6300182029
889,630015761X
890,630018286X
891,6300182738
892,6300147355
893,6300183920
894,630018305X
895,6300182800
896,6300180204
897,6300183475
898,630015002X
899,6300184293
900,6300183033
901,6300182649
902,6300183416
903,6300184242
904,6300183769
905,6300167178
906,6300184595
907,6300183459
908,6300183432
909,6300184269
910,6300183505
911,6300183831
912,6300175197
913,6300182304
914,630018207X
915,6300175170
916,6300183785
917,6300183548
918,6300158683
919,6300182061
920,6300159159
921,6300183807
922,6300185443
923,6300185451
924,6300182517
925,6300185125
926,6300179109
927,6300185370
928,6300182681
929,6300182002
930,6300185117
931,6300185044
932,6300186806
933,6300181510
934,6300185230
935,6300185974
936,6300198200
937,6300150879
938,6300185176
939,630018904X
940,6300198537
941,6300206610
942,6300185788
943,6300189538
944,6300208117
945,630020815X
946,6300183513
947,6300182924
948,6300208060
949,6300185893
950,630020829X
951,6300208672
952,6300184900
953,6300208044
954,6300208575
955,6300198413
956,6300189082
957,630016411X
958,6300198731
959,6300208818
960,6300209237
961,6300208850
962,6300207870
963,6300208192
964,630018675X
965,6300198499
966,6300212912
967,630021320X
968,6300208591
969,6300213501
970,630018384X
971,6300182428
972,6300184250
973,6300213021
974,6300189686
975,6300207935
976,6300185885
977,6300208540
978,6300209075
979,6300214133
980,6300213641
981,6300213714
982,630021415X
983,6300213706
984,6300214338
985,6300214265
986,6300213951
987,6300213927
988,6300214508
989,6300214117
990,6300213730
991,630020992X
992,6300209369
993,6300214230
994,6300213137
995,6300214087
996,6300213986
997,6300213579
998,6300189503
999,6300183726
1000,6300213897
1001,6300186180
1002,6300214222
1003,630021348X
1004,6300209253
1005,6300213560
1006,6300213900
1007,6300214893
1008,6300208419
1009,6300214737
1010,6300214028
1011,6300214567
1012,6300213803
1013,6300215202
1014,6300214958
1015,6300209296
1016,6300185206
1017,6300214346
1018,6300209164
1019,6300214613
1020,6300214648
1021,6300214192
1022,6300213056
1023,6300215520
1024,6300189856
1025,6300215555
1026,6300185869
1027,6300215598
1028,6300214680
1029,6300215806
1030,6300214044
1031,6300215849
1032,6300215601
1033,6300216209
1034,6300214052
1035,6300214184
1036,6300213781
1037,6300216284
1038,6300216527
1039,6300215903
1040,6300214664
1041,6300214583
1042,630021575X
1043,6300216497
1044,6300215350
1045,6300213943
1046,6300216144
1047,6300216306
1048,6300214575
1049,6300215245
1050,6300216705
1051,6300213587
1052,6300215660
1053,6300215954
1054,6300213749
1055,6300216861
1056,6300215490
1057,6300216535
1058,6300215989
1059,6300216071
1060,6300209830
1061,6300214672
1062,6300216055
1063,6300216950
1064,6300216179
1065,6300214311
1066,6300208931
1067,6300215628
1068,6300216454
1069,6300208443
1070,6300210685
1071,6300216586
1072,6300216721
1073,6300216047
1074,6300216241
1075,6300216977
1076,6300218074
1077,6300216853
1078,6300208354
1079,6300208664
1080,6300216543
1081,6300216489
1082,6300213404
1083,6300217027
1084,6300211649
1085,6300215458
1086,6300218120
1087,6300184803
1088,6300214974
1089,6300215970
1090,6300216918
1091,6300216764
1092,6300216934
1093,6300216691
1094,6300227049
1095,6300216438
1096,6300218031
1097,6300246817
1098,6300217515
1099,6300218228
1100,6300216225
1101,6300230066
1102,6300216373
1103,6300217620
1104,6300246876
1105,6300186016
1106,6300247406
1107,6300247392
1108,6300247333
1109,6300229491
1110,6300247139
1111,6300218090
1112,6300217728
1113,6300215261
1114,6300217388
1115,6300215857
1116,6300248097
1117,6300247090
1118,6300247651
1119,6300216594
1120,6300246795
1121,630024752X
1122,6300218406
1123,6300248089
1124,6300248488
1125,6300214559
1126,6300247171
1127,6300216799
1128,6300250164
1129,6300246973
1130,630021673X
1131,6300216632
1132,6300250512
1133,6300213323
1134,6300247597
1135,6300250172
1136,6300247821
1137,6300249964
1138,6300248135
1139,6300247589
1140,6300246868
1141,6300214710
1142,6300250407
1143,6300248216
1144,6300247694
1145,6300249824
1146,630021592X
1147,6300246787
1148,6300251748
1149,6300247236
1150,6300248100
1151,6300247163
1152,6300219658
1153,6300248607
1154,6300251969
1155,6300247104
1156,6300247031
1157,6300256200
1158,6300215695
1159,6300255980
1160,6300255905
1161,6300256073
1162,6300251853
1163,6300215962
1164,6300251330
1165,6300251217
1166,6300262294
1167,6300214621
1168,630025884X
1169,630026260X
1170,630025545X
1171,6300248356
1172,6300252310
1173,6300252558
1174,6300267830
1175,6300268853
1176,6300268535
1177,6300267962
1178,6300256286
1179,6300269124
1180,6300249816
1181,6300216748
1182,6300262545
1183,630026341X
1184,6300247945
1185,6300269485
1186,6300269701
1187,6300250873
1188,6300268144
1189,6300216756
1190,6300268799
1191,6300270122
1192,630026971X
1193,6300269965
1194,6300269671
1195,6300269477
1196,6300263150
1197,6300270106
1198,6300268748
1199,6300256359
1200,6300269841
1201,6300269221
1202,6300270211
1203,6300269469
1204,6300270068
1205,6300269434
1206,6300263444
1207,6300269833
1208,6300270424
1209,6300268012
1210,630026968X
1211,6300249867
1212,6300216608
1213,6300266826
1214,6300272966
1215,6300270564
1216,6300270912
1217,6300271102
1218,6300271307
1219,6300271838
1220,6300215881
1221,6300217604
1222,6300271749
1223,630027151X
1224,6300273210
1225,6300271951
1226,6300269450
1227,6300271358
1228,6300274195
1229,6300274268
1230,6300270149
1231,6300268683
1232,6300269418
1233,6300270300
1234,6300268756
1235,6300276554
1236,6300269280
1237,6300268128
1238,6300270580
1239,630027182X
1240,6300274586
1241,6300274608
1242,6300248569
1243,630026906X
1244,6300276740
1245,6300269299
1246,6300275035
1247,6300276945
1248,6300271528
1249,6300271668
1250,6300271579
1251,6300271706
1252,6300270270
1253,6300261808
1254,6300987493
1255,6300987531
1256,6300988805
1257,6300279928
1258,6300987787
1259,6300987485
1260,6300984869
1261,6301004965
1262,6300988600
1263,6300988597
1264,6301007360
1265,6301008618
1266,6300270327
1267,630100678X
1268,6300278506
1269,6301007042
1270,6301007433
1271,6300270130
1272,6301005783
1273,6301006798
1274,6300275310
1275,6300270505
1276,6301021029
1277,6301024435
1278,6301004981
1279,6301009096
1280,6301035828
1281,6301031474
1282,6301005376
1283,6301039041
1284,6301007883
1285,6301049284
1286,6300270297
1287,6301008944
1288,6301007581
1289,6301066162
1290,6301045734
1291,6301005538
1292,6301031350
1293,6301072669
1294,6301039459
1295,630100955X
1296,6301065573
1297,630103581X
1298,6301106415
1299,6301035623
1300,6301105915
1301,6301016416
1302,6301106490
1303,6301093526
1304,6300989003
1305,6300275116
1306,6301065565
1307,6301055365
1308,6301071395
1309,6301066685
1310,630027635X
1311,6301050886
1312,6301063058
1313,6301118251
1314,6301133471
1315,6301065557
1316,6301132742
1317,6301031458
1318,6301072642
1319,630113334X
1320,6301103408
1321,6301095294
1322,6301151321
1323,6301130391
1324,6301163788
1325,6301024451
1326,6301179544
1327,6301108108
1328,6301026128
1329,6301115899
1330,6301094999
1331,6301174240
1332,6301207947
1333,6301049764
1334,630120879X
1335,6301094328
1336,6301095200
1337,6301008960
1338,6301060938
1339,630120798X
1340,6301039009
1341,6301106482
1342,6301133404
1343,6301218809
1344,6301170113
1345,630113284X
1346,6301217861
1347,6301140869
1348,6301218159
1349,6301140842
1350,6301216121
1351,6301229096
1352,6301166671
1353,6301115538
1354,6301118413
1355,6301045742
1356,6301229606
1357,6301221923
1358,6301229371
1359,6301049292
1360,630104925X
1361,6301115678
1362,6301175239
1363,6301216601
1364,6301169786
1365,6301239571
1366,6301229495
1367,6301216318
1368,6301216237
1369,6301017072
1370,6301233166
1371,6301221486
1372,6301249038
1373,6301232038
1374,6301115880
1375,6301094352
1376,630124849X
1377,6301103513
1378,6301258746
1379,6301254899
1380,630121613X
1381,6301105931
1382,6301150953
1383,6301257049
1384,6301005740
1385,6301254961
1386,630121787X
1387,6301016998
1388,6301258401
1389,6300987590
1390,6301231783
1391,6301290836
1392,6301229452
1393,6301290933
1394,6301278461
1395,6301058283
1396,6301231848
1397,630129341X
1398,6301216113
1399,6301279654
1400,6301239598
1401,6301216563
1402,6301302990
1403,6301247590
1404,6301247345
1405,6301161521
1406,6301300548
1407,6301278429
1408,6301216156
1409,6301031431
1410,6301293320
1411,6301327683
1412,6301224620
1413,630132773X
1414,6301175220
1415,6301325540
1416,6301216210
1417,6301331389
1418,6301331362
1419,6301304977
1420,6301124537
1421,6301224612
1422,6301334523
1423,6301328000
1424,6301166736
1425,6301328329
1426,6301307208
1427,6301221494
1428,6301302982
1429,6301374274
1430,6301328515
1431,6301374126
1432,6301394747
1433,6301352173
1434,6301392469
1435,6301248236
1436,6301348281
1437,6301276736
1438,6301348869
1439,6301390628
1440,6301398998
1441,630133275X
1442,6301390725
1443,6301272250
1444,6301394429
1445,6301224701
1446,6301327705
1447,6301415817
1448,6301395018
1449,6301415396
1450,6301393945
1451,6301423941
1452,6301328450
1453,630135964X
1454,6301423704
1455,6301440056
1456,6301374223
1457,6301408926
1458,6301412761
1459,6301264177
1460,6301442768
1461,6301435184
1462,6301229398
1463,6301328477
1464,6301415159
1465,630142462X
1466,6301327977
1467,6301390768
1468,6301442733
1469,630139562X
1470,6301417216
1471,6301394046
1472,6301409388
1473,6301161580
1474,6301454901
1475,6301475534
1476,6301435192
1477,6301421191
1478,6301480422
1479,6301455169
1480,6301476166
1481,6301480392
1482,6301358570
1483,6301327691
1484,630144910X
1485,6301423682
1486,6301325397
1487,6301352211
1488,6301383869
1489,6301454766
1490,6301408977
1491,630130053X
1492,6301432819
1493,6301413075
1494,6301360966
1495,6301480406
1496,6301474961
1497,6301538250
1498,6301528565
1499,6301417097
1500,6301536827
1501,6301514025
1502,6301464303
1503,6301410831
1504,6301464966
1505,6301394542
1506,630154028X
1507,630133292X
1508,6301505638
1509,6301491920
1510,6301432827
1511,6301465601
1512,6301357256
1513,6301564472
1514,630132854X
1515,6301415302
1516,6301328507
1517,630156443X
1518,630150528X
1519,6301558448
1520,6301415841
1521,6301413024
1522,6301562313
1523,6301586026
1524,6301570723
1525,630154059X
1526,6301481356
1527,6301578848
1528,6301587383
1529,6301379616
1530,6301581474
1531,6301564456
1532,6301603478
1533,6301581563
1534,6301589068
1535,6301598946
1536,6301562925
1537,6301480473
1538,6301374290
1539,6301603389
1540,6301608054
1541,6301465628
1542,6301599225
1543,630156118X
1544,6301599462
1545,6301505662
1546,6301454308
1547,6301599918
1548,6301618033
1549,6301581385
1550,6301536940
1551,6301608534
1552,6301558359
1553,6301619544
1554,6301564480
1555,6301279727
1556,6301589106
1557,6301640586
1558,6301443837
1559,6301562216
1560,6301599314
1561,6301640799
1562,6301599004
1563,6301465016
1564,6301646096
1565,6301629787
1566,6301640780
1567,6301528581
1568,630165160X
1569,6301560620
1570,6301536789
1571,6301627288
1572,6301651960
1573,630152859X
1574,6301352181
1575,6301618688
1576,6301628543
1577,6301652037
1578,6301657543
1579,6301572793
1580,6301643410
1581,6301662954
1582,6301666720
1583,6301661710
1584,630165207X
1585,6301618602
1586,630154031X
1587,6301677994
1588,6301398912
1589,6301611810
1590,6301661850
1591,6301678141
1592,6301648560
1593,6301661737
1594,6301689984
1595,6301696166
1596,6301686977
1597,6301678036
1598,6301651847
1599,6301640659
1600,6301694007
1601,6301661729
1602,6301697308
1603,630141019X
1604,6301706811
1605,6301646053
1606,6301704754
1607,6301576810
1608,6301658795
1609,6301708075
1610,6301694074
1611,6301650697
1612,6301558308
1613,6301696735
1614,630167796X
1615,6301707990
1616,6301691687
1617,6301670124
1618,6301647742
1619,6301657780
1620,630172061X
1621,630170780X
1622,6301720555
1623,6301468783
1624,6301590740
1625,6301734815
1626,6301599454
1627,6301696190
1628,6301734726
1629,6301720571
1630,6301748107
1631,630165191X
1632,6301720407
1633,6301666569
1634,6301750705
1635,6301736303
1636,6301752708
1637,630174411X
1638,6301718275
1639,6301720385
1640,6301706498
1641,6301720539
1642,6301744128
1643,630175865X
1644,6301708261
1645,6301666666
1646,6301694147
1647,6301697758
1648,6301706471
1649,6301752643
1650,6301708113
1651,6301765974
1652,6301760395
1653,630172058X
1654,6301760379
1655,6301752694
1656,630176031X
1657,6301640594
1658,6301718941
1659,6301773586
1660,6301766261
1661,6301777476
1662,6301750667
1663,6301777387
1664,6301694015
1665,6301734777
1666,6301734785
1667,6301759281
1668,6301778367
1669,6301729897
1670,6301777840
1671,6301770986
1672,6301782666
1673,6301708032
1674,630176627X
1675,6301763424
1676,630178216X
1677,6301773578
1678,6301798023
1679,6301739655
1680,6301758110
1681,6301797949
1682,6301771435
1683,6301759079
1684,6301773632
1685,6301744136
1686,6301793196
1687,6301767918
1688,6301798171
1689,630179513X
1690,630179818X
1691,6301798678
1692,6301798201
1693,6301788508
1694,630179821X
1695,6301777875
1696,6301798740
1697,6301782712
1698,6301788494
1699,6301797965
1700,630178541X
1701,6301798058
1702,6301785436
1703,6301798686
1704,6301798066
1705,6301763041
1706,630179799X
1707,630170648X
1708,6301778359
1709,6301730038
1710,6301750721
1711,630179804X
1712,630180113X
1713,6301801709
1714,6301798279
1715,6301800982
1716,6301798643
1717,6301798805
1718,630180127X
1719,6301773500
1720,6301798694
1721,6301750748
1722,6301802268
1723,6301801148
1724,630179849X
1725,6301798945
1726,6301801288
1727,6301798287
1728,6301766180
1729,6301802497
1730,630180256X
1731,6301797973
1732,6301802640
1733,6301801571
1734,6301805194
1735,6301801725
1736,6301805615
1737,6301697723
1738,6301813480
1739,6301801253
1740,6301802357
1741,6301798260
1742,6301820932
1743,6301753534
1744,6301739647
1745,6301802373
1746,6301788486
1747,6301801946
1748,630180130X
1749,6301817761
1750,6301798732
1751,6301798147
1752,6301798589
1753,6301802489
1754,6301777492
1755,6301801954
1756,6301802012
1757,6301801083
1758,6301798902
1759,6301798562
1760,6301766210
1761,6301802322
1762,6301851293
1763,6301815807
1764,6301773551
1765,6301802748
1766,6301810678
1767,6301821122
1768,6301863208
1769,6301826558
1770,6301801849
1771,6301805372
1772,6301885538
1773,6301827643
1774,6301863194
1775,6301888898
1776,6301802535
1777,6301900154
1778,6301814010
1779,6301901282
1780,6301868684
1781,6301805429
1782,6301798961
1783,6301912373
1784,6301912381
1785,6301900596
1786,6301902645
1787,630191029X
1788,6301920376
1789,6301896424
1790,6301913949
1791,6301914120
1792,6301801652
1793,6301758641
1794,6301928512
1795,6301802020
1796,6301928679
1797,6301928490
1798,6301925769
1799,6301928555
1800,6301930010
1801,6301929942
1802,6301930088
1803,6301914090
1804,6301903285
1805,6301931645
1806,6301932420
1807,630193055X
1808,630193413X
1809,6301863186
1810,6301928652
1811,6301933869
1812,630191399X
1813,630191564X
1814,630192875X
1815,6301934121
1816,6301916050
1817,6301928970
1818,6301930037
1819,6301928423
1820,6301945298
1821,6301929225
1822,6301933885
1823,6301955188
1824,6301954890
1825,6301932838
1826,6301934156
1827,6301931025
1828,6301952529
1829,6301928156
1830,6301959949
1831,6301934288
1832,6301942671
1833,6301928008
1834,6301934903
1835,6301929810
1836,6301928180
1837,6301948319
1838,6301963660
1839,6301948262
1840,6301964233
1841,6301964217
1842,6301964292
1843,6301959981
1844,6301930592
1845,6301964144
1846,6301959728
1847,6301963717
1848,6301930908
1849,6301964098
1850,6301961412
1851,630194299X
1852,6301966074
1853,6301901274
1854,6301964411
1855,6301963725
1856,6301965965
1857,6301965639
1858,6301960084
1859,6301966295
1860,6301945085
1861,6301917588
1862,630196697X
1863,630195517X
1864,6301966465
1865,6301966708
1866,6301930789
1867,6301933532
1868,6301961439
1869,6301964187
1870,6301942728
1871,6301945301
1872,6301967364
1873,6301967801
