pid,labels
0767803434,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767804325,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767805534,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767805712,"['Movies & TV', 'Science Fiction & Fantasy', 'Science Fiction', 'Futuristic']"
0767808673,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767809254,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767809726,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767811089,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767811704,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767813421,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767814908,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767815335,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767815963,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767817486,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767817648,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767817664,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767817737,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767818105,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767819454,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767819462,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767819519,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767821408,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767821610,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767821807,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767824555,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767824571,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767826728,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767827686,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767827759,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767830555,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
076783254X,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767834739,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767835069,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767836359,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767837398,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'Sony Pictures Classics', 'Drama']"
0767839129,"['Movies & TV', 'Christian Video', 'Biography', 'Joan of Arc']"
0767839277,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767850823,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
076785344X,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767853636,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767882938,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
0769720307,"['Movies & TV', 'Genre for Featured Categories', 'Special Interests']"
0769721036,"['Movies & TV', 'Genre for Featured Categories', 'Special Interests']"
0769770444,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
0769781977,"['Movies & TV', 'Movies']"
0778607704,"['Movies & TV', 'Genre for Featured Categories', 'Kids & Family']"
0780018656,"['Movies & TV', 'Art House & International', 'By Country', 'Germany']"
0780020715,"['Movies & TV', 'Science Fiction & Fantasy', 'Fantasy']"
0780020855,"['Movies & TV', 'Art House & International', 'By Country', 'United Kingdom', 'Drama']"
0780020979,"['Movies & TV', 'Art House & International', 'By Country', 'Sweden']"
0780021045,"['Movies & TV', 'Criterion Collection', 'All']"
0780021088,"['Movies & TV', 'Cult Movies', 'Drama']"
0780021649,"['Movies & TV', 'Art House & International', 'By Country', 'Japan', 'Classics']"
0780021932,"['Movies & TV', 'Criterion Collection', 'All']"
0780022319,"['Movies & TV', 'Criterion Collection', 'All']"
0780022386,"['Movies & TV', 'Criterion Collection', 'All']"
0780023099,"['Movies & TV', 'Musicals & Performing Arts', 'Musicals']"
0780023161,"['Movies & TV', 'Boxed Sets', 'Art House & International']"
0780023196,"['Movies & TV', 'Cult Movies', 'International']"
0780023447,"['Movies & TV', 'Art House & International', 'By Country', 'Japan', 'Classics']"
0780606957,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Comedy']"
078060718X,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
0780615573,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
0780618106,"['Movies & TV', 'Genre for Featured Categories', 'Documentary']"
0780620372,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
0780620496,"['Movies & TV', 'Art House & International', 'By Country', 'United Kingdom', 'Comedy']"
0780621638,"['Movies & TV', 'Art House & International', 'By Country', 'United Kingdom', 'Drama']"
078062176X,"['Movies & TV', 'Boxed Sets', 'Documentary']"
0780621832,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Westerns']"
0780621956,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
0780622189,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
0780622200,"['Movies & TV', 'Genre for Featured Categories', 'Sports']"
0780622383,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Drama']"
0780622537,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'All Titles']"
0780622677,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'All Titles']"
0780623223,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'All Titles']"
0780623614,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
078062386X,"['Movies & TV', 'Boxed Sets', 'Documentary']"
0780624173,[]
0780625390,"['Movies & TV', 'Genre for Featured Categories', 'Sports']"
0780625420,"['Movies & TV', 'Genre for Featured Categories', 'Sports']"
078062582X,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Comedy']"
0780626613,"['Movies & TV', 'Art House & International', 'By Country', 'Hong Kong']"
0780626699,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
0780626702,"['Movies & TV', 'Genre for Featured Categories', 'Mystery & Thrillers']"
0780627822,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
0780629752,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
0780630068,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
0780630548,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
0780630866,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
0780630874,"['Movies & TV', 'Genre for Featured Categories', 'Horror']"
0780631331,[]
078063134X,"['Movies & TV', 'Boxed Sets', 'Documentary']"
0780635299,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'All Titles']"
078065062X,"['Movies & TV', 'Movies']"
0780662504,"['Movies & TV', 'Characters & Series', 'Scooby Doo']"
0781740681,"['Movies & TV', 'Movies']"
0782006752,"['Movies & TV', 'Art House & International', 'By Country', 'United Kingdom', 'Comedy']"
0782007848,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
0782008119,"['Movies & TV', 'Widescreen', 'Documentary']"
0782008372,"['Movies & TV', 'Science Fiction & Fantasy', 'Fantasy']"
0782009328,"['Movies & TV', 'Genre for Featured Categories', 'Westerns']"
0782010040,"['Movies & TV', 'John Wayne Store', 'All Titles']"
078201061X,"['Movies & TV', 'Studio Specials', 'Lionsgate Home Entertainment', 'Lionsgate DVDs Under $10']"
0782010792,"['Movies & TV', 'Boxed Sets', 'Classics']"
078310135X,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Action & Adventure']"
0783110901,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Drama']"
0783110960,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Drama']"
0783111037,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Drama']"
0783111509,"['Movies & TV', 'HBO', 'All HBO Titles']"
0783112750,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Drama']"
0783112769,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Drama']"
0783114222,"['Movies & TV', 'HBO', 'All HBO Titles']"
0783114729,"['Movies & TV', 'HBO', 'All HBO Titles']"
0783114907,"['Movies & TV', 'HBO', 'All HBO Titles']"
078311530X,"['Movies & TV', 'HBO', 'All HBO Titles']"
0783115539,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
0783116640,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Kids & Family']"
0783116926,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
0783117159,"['Movies & TV', 'HBO']"
0783209967,"['Movies & TV', 'Cult Movies', 'Comedy']"
0783210973,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
0783211201,"['Movies & TV', 'African American Cinema', 'Comedy']"
0783211694,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
0783217048,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
0783217498,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
0783218923,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
0783222424,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
0783222726,"['Movies & TV', 'Genre for Featured Categories', 'Kids & Family']"
0783224435,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
0783224478,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
0783224583,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
0783224788,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
078322561X,"['Movies & TV', 'Genre for Featured Categories', 'Kids & Family']"
0783225857,"['Movies & TV', 'Studio Specials', 'Universal Studios Home Entertainment', 'All Universal Studios Titles']"
0783225911,"['Movies & TV', 'John Wayne Store', 'All Titles']"
0783226535,"['Movies & TV', 'Widescreen', 'Action & Adventure']"
0783226608,"['Movies & TV', 'Spanish Language', 'Comedia']"
0783226799,"['Movies & TV', 'Studio Specials', 'Universal Studios Home Entertainment', 'All Universal Studios Titles']"
0783226853,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
078322687X,"['Movies & TV', 'Studio Specials', 'Universal Studios Home Entertainment', 'All Universal Studios Titles']"
0783226896,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
0783226985,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
0783226993,"['Movies & TV', 'Studio Specials', 'Universal Studios Home Entertainment', 'All Universal Studios Titles']"
078322723X,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
0783227272,"['Movies & TV', 'African American Cinema', 'Drama']"
0783227361,"['Movies & TV', 'Studio Specials', 'Universal Studios Home Entertainment', 'All Universal Studios Titles']"
078322740X,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
0783227892,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
0783227922,"['Movies & TV', 'Studio Specials', 'Universal Studios Home Entertainment', 'All Universal Studios Titles']"
0783227930,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
0783228252,"['Movies & TV', 'Genre for Featured Categories', 'Kids & Family']"
0783228341,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
0783228686,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
0783229399,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
078322947X,"['Movies & TV', 'Studio Specials', 'Universal Studios Home Entertainment', 'All Universal Studios Titles']"
0783229569,"['Movies & TV', 'Widescreen', 'Comedy']"
0783229712,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
0783229747,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
078322995X,"['Movies & TV', 'Genre for Featured Categories', 'Kids & Family']"
0783230346,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
0783230427,"['Movies & TV', 'Science Fiction & Fantasy', 'Science Fiction', 'Alien Invasion']"
0783230486,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
0783231032,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
0783234287,"['Movies & TV', 'Genre for Featured Categories', 'Horror']"
0783235380,"['Movies & TV', 'Paramount Home Entertainment', 'Comedy']"
0783235410,"['Movies & TV', 'Paramount Home Entertainment', 'DreamWorks']"
0783235615,"['Movies & TV', 'Genre for Featured Categories', 'Mystery & Thrillers']"
0783235674,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
0783239408,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
0783239955,"['Movies & TV', 'Studio Specials', 'Universal Studios Home Entertainment', 'All Universal Studios Titles']"
0783240066,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
0783240473,"['Movies & TV', 'Movies']"
0783241313,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
0783241569,"['Movies & TV', 'Art House & International', 'By Country', 'United Kingdom', 'Comedy']"
0783243499,"['Movies & TV', 'Cult Movies', 'Comedy']"
0783245130,"['Movies & TV', 'Genre for Featured Categories', 'Horror']"
0784001308,"['Movies & TV', 'Art House & International', 'By Country', 'United Kingdom', 'Drama']"
078400949X,"['Movies & TV', 'Christian Video', 'Animation']"
0784010331,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0784010447,"['Movies & TV', 'Studio Specials', 'Lions Gate Home Entertainment', 'Top Sellers']"
0784011249,"['Movies & TV', 'Studio Specials', 'Lionsgate Home Entertainment', 'Lionsgate DVDs Under $15']"
0784011370,"['Movies & TV', 'Studio Specials', 'Lions Gate Home Entertainment', 'Top Sellers']"
0784011532,"['Movies & TV', 'Science Fiction & Fantasy', 'Science Fiction', 'Robots & Androids']"
0784011648,"['Movies & TV', 'Studio Specials', 'Lionsgate Home Entertainment', 'Top Sellers']"
0784011680,"['Movies & TV', 'Studio Specials', 'Lionsgate Home Entertainment', 'Lionsgate DVDs Under $15']"
0784013470,"['Movies & TV', 'Genre for Featured Categories', 'Horror']"
0784017735,"['Movies & TV', 'Genre for Featured Categories', 'Exercise & Fitness']"
0784017808,"['Movies & TV', 'Studio Specials', 'Lions Gate Home Entertainment', 'Top Sellers']"
0784017875,"['Movies & TV', 'Genre for Featured Categories', 'Exercise & Fitness']"
0784017956,"['Movies & TV', 'Studio Specials', 'Lions Gate Home Entertainment', 'Top Sellers']"
0784017964,"['Movies & TV', 'Genre for Featured Categories', 'Exercise & Fitness']"
0788600931,"['Movies & TV', 'Genre for Featured Categories', 'Documentary']"
0788606344,"['Movies & TV', 'Boxed Sets', 'Comedy']"
0788802194,"['Movies & TV', 'Disney Home Video', 'All Disney Titles']"
0788810634,"['Movies & TV', 'Disney Home Video', 'By Age', '3-6 Years']"
0788812262,"['Movies & TV', 'Disney Home Video', 'By Age', '3-6 Years']"
0788812424,"['Movies & TV', 'Disney Home Video', 'By Age', '7-11 Years']"
0788812467,"['Movies & TV', 'Disney Home Video', 'By Age', '3-6 Years']"
0788814664,"['Movies & TV', 'Studio Specials', 'Miramax Home Entertainment', 'Oscar Collection']"
0788815474,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
0788821075,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
078882273X,"['Movies & TV', 'Disney Home Video', 'Animated Characters', 'All Titles']"
0788832182,"['Movies & TV', 'Movies']"
0788832492,"['Movies & TV', 'Studio Specials']"
078885383X,"['Movies & TV', 'Science Fiction & Fantasy', 'Science Fiction', 'Animation']"
0788857746,"['Movies & TV', 'Movies']"
078885996X,"['Movies & TV', 'Movies']"
0788860119,[]
0788861956,"['Movies & TV', 'TV']"
078887148X,"['Movies & TV', 'Movies']"
0788872796,"['Movies & TV', 'Movies']"
0790724960,"['Movies & TV', 'Genre for Featured Categories', 'Kids & Family']"
0790725657,"['Movies & TV', 'Genre for Featured Categories', 'Kids & Family']"
0790729342,"['Movies & TV', 'Science Fiction & Fantasy', 'Science Fiction', 'Sci-Fi Action']"
0790729377,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'All Titles']"
079072961X,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'All Titles']"
0790729628,"['Movies & TV', 'Science Fiction & Fantasy', 'Science Fiction', 'Futuristic']"
0790729644,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'All Titles']"
0790729687,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'All Titles']"
0790729709,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'All Titles']"
0790729733,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'All Titles']"
0790729989,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'All Titles']"
0790731215,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
079073124X,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Action & Adventure']"
0790731266,"['Movies & TV', 'Widescreen', 'Comedy']"
0790731517,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'All Titles']"
0790731614,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
0790731797,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Drama']"
0790732149,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'All Titles']"
0790732181,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'All Titles']"
0790732300,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Action & Adventure']"
0790732432,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
0790732521,"['Movies & TV', 'Art House & International', 'By Country', 'United Kingdom', 'Drama']"
0790732548,"['Movies & TV', 'Widescreen', 'Action & Adventure']"
0790733226,"['Movies & TV', 'Science Fiction & Fantasy', 'Science Fiction', 'Aliens']"
0790733919,"['Movies & TV', 'Widescreen', 'Drama']"
0790733927,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
0790734419,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Drama']"
079073463X,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Action & Adventure']"
0790734737,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'All Titles']"
0790734966,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
0790736063,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
079073608X,"['Movies & TV', 'Genre for Featured Categories', 'Horror']"
0790736527,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
0790736977,"['Movies & TV', 'Genre for Featured Categories', 'Kids & Family']"
0790737647,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Drama']"
0790737744,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
0790737868,"['Movies & TV', 'Cult Movies', 'Drama']"
0790739313,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'All Titles']"
0790740281,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Comedy']"
0790740443,"['Movies & TV', 'Science Fiction & Fantasy', 'Science Fiction', 'Futuristic']"
0790740451,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Comedy']"
0790740664,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Comedy']"
0790740672,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Comedy']"
0790741067,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
0790741253,[]
0790741288,"['Movies & TV', 'Genre for Featured Categories', 'Mystery & Thrillers']"
0790741296,"['Movies & TV', 'Genre for Featured Categories', 'Mystery & Thrillers']"
0790741431,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
0790741644,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
0790742462,"['Movies & TV', 'Science Fiction & Fantasy', 'Science Fiction', 'Alien Invasion']"
0790743213,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
0790743442,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
0790744236,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
0790744546,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
0790744813,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Musicals']"
0790744929,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
0790745003,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
0790746387,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
079074676X,"['Movies & TV', 'Art House & International', 'By Country', 'United Kingdom', 'Comedy']"
0790747693,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Horror']"
0790748193,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
0790748266,"['Movies & TV', 'Animation', 'Feature Films']"
079074886X,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
0790750414,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
0790750732,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Classics']"
0790751143,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'Warner Video Bargains', 'Action & Adventure']"
0790751445,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'All Titles']"
0790751569,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'All Titles']"
079075181X,"['Movies & TV', 'Genre for Featured Categories', 'Kids & Family']"
