,0005089549
315,0792153456
316,0792143817
317,0792146433
318,0792102320
319,0792158202
320,0792157850
321,0792153189
322,0792145496
323,0792146344
324,0792160347
325,0792110188
326,0792160932
327,0792165039
328,0792171306
329,0792166736
330,0792199405
331,0792153677
332,0792153685
333,0792166523
334,0792145097
335,0792292553
336,0792834976
337,0792834933
338,0792833201
339,0792836030
340,0792834917
341,0792836529
342,0792837746
343,0792838955
344,0792836618
345,079283948X
346,0792836685
347,079283514X
348,0792840119
349,0792837398
350,0792838653
351,0792839129
352,0792841905
353,0792842162
354,079284209X
355,0792840984
356,0792840011
357,0792838726
358,0792843991
359,0792843800
360,0792843894
361,0792843967
362,0792839684
363,0792838947
364,0792838661
365,0792843622
366,0792844718
367,0792844025
368,0792842111
369,079284565X
370,0792841409
371,0792842626
372,0792845552
373,0792846133
374,0792841980
375,0792846605
376,0792844734
377,0792842154
378,0792844033
379,0792845900
380,0792844041
381,0792899768
382,0792842006
383,0792899075
384,0792844645
385,0792898524
386,0792899458
387,0792898702
388,0792845870
389,0792845242
390,0792839420
391,0792844785
392,0792899229
393,0792841840
394,0792845765
395,0792839072
396,0792899806
397,0793906091
398,079396041X
399,079398257X
400,0793984297
401,0793961009
402,0793927536
403,0793927714
404,0800112652
405,0800114051
406,0800111842
407,0800129016
408,0800141709
409,0800177029
410,0800129784
411,0800116143
412,0800127943
413,0800141741
414,0800104862
415,0800121260
416,0800180429
417,0800139062
418,0800115066
419,0800198840
420,0800135547
421,0800136926
422,0800141660
423,0842375619
424,0842526919
425,084252455X
426,0849922372
427,0849986761
428,0870204556
429,0874934648
430,0892216972
431,0898706939
432,093085280X
433,0935278591
434,0936184906
435,0941232131
436,0941283186
437,0945671873
438,0949906980
439,0956310117
440,0963093932
441,0964083817
442,0964500094
443,0966063341
444,0966296400
445,0966531248
446,0966691105
447,0967124816
448,0967418518
449,0967501032
450,096751780X
451,0967830206
452,0970103905
453,097013830X
454,0970662408
455,0970742231
456,0971098220
457,0971098212
458,0971098255
459,097131649X
460,0971366306
461,0971744319
462,0972043306
463,0972597506
464,0973323396
465,097369470X
466,0974510300
467,0975061968
468,0976202468
469,0976233916
470,0976731096
471,0979927900
472,0981460224
473,0981458971
474,0784010447
475,0982153309
476,0982939876
477,0982982224
478,0983298122
479,0984301801
480,0988187469
481,098828278X
482,0849975034
483,0001526863
484,0784017735
485,0757990290
486,0898707145
487,1401927297
488,1401926339
489,1401926436
490,1403143609
491,140498822X
492,1415723427
493,0780630548
494,1424819210
495,078885996X
496,0964278928
497,0005000009
498,0973005009
499,0782009328
500,0792154436
501,0740319140
502,0790747693
503,1556586892
504,1557396248
505,1557840873
506,1558804641
507,1558908676
508,1558908382
509,1559409002
510,155940860X
511,1559408758
512,1559408677
513,1560154012
514,1560396474
515,1560395907
516,1560396539
517,1560689994
518,1561270563
519,1561080004
520,1561589578
521,1562022393
522,1562196308
523,1562199730
524,1562196367
525,1562021907
526,1562196650
527,1562550888
528,1563311976
529,1563452685
530,1563453789
531,156371616X
532,156501345X
533,156580211X
534,1565855744
535,1565859723
536,1565856635
537,1566053692
538,1566053986
539,1566331803
540,1567301614
541,1567301568
542,1567301789
543,1567301606
544,1567301355
545,1568124945
546,1568327730
547,1568392273
548,1568556829
549,0790740672
550,1569382964
551,1569383790
552,1569388997
553,1569389063
554,1569383529
555,1569385939
556,1569388059
557,1569381976
558,1569383472
559,1569388431
560,156949407X
561,1571196927
562,1571323848
563,1571322728
564,1571208526
565,1571323368
566,1571320377
567,1571324127
568,1571324240
569,157132528X
570,1572521252
571,1572521279
572,1572523018
573,1572521473
574,1572521783
575,1572520639
576,1572522178
577,1572522747
578,1572524421
579,1572524359
580,1572521597
581,1572522410
582,1572521368
583,1572522828
584,1572521384
585,1572525401
586,1572525959
587,1572522380
588,1572523255
589,1572526564
590,1572527242
591,1572521767
592,1572522224
593,1572523026
594,1572524537
595,1572524413
596,1572522321
597,1572525509
598,1572522402
599,1572528338
600,1572522127
601,1572523573
602,1572525525
603,157252765X
604,1572522445
605,1572522232
606,1572522550
607,157252250X
608,1573305723
609,1573305766
610,1573307386
611,1573303585
612,1573309869
613,1573301043
614,1573309966
615,1573305588
616,1573300985
617,1573300357
618,1573306932
619,1573306983
620,1573300470
621,1573309885
622,1573301507
623,1573309982
624,1573301469
625,1573470589
626,1573470988
627,1573472093
628,157347049X
629,1573471194
630,1573623008
631,1573470767
632,1573470821
633,1573624071
634,1573624365
635,1573626481
636,1573626910
637,1573626163
638,157362408X
639,1573624802
640,157362554X
641,157347181X
642,1573623946
643,1573628042
644,1573627089
645,157362389X
646,1573629774
647,1573624101
648,1573623903
649,1573624160
650,1573626171
651,1573624977
652,1573471917
653,157347228X
654,1573624292
655,1573471070
656,1573628174
657,157492463X
658,1574922777
659,1574924486
660,1574924656
661,1574927302
662,1574925784
663,157492432X
664,1574924451
665,1574922815
666,1574922807
667,1574928228
668,1574928295
669,1575237555
670,157523730X
671,1575237466
672,1574920855
673,1575239701
674,1575233452
675,1575235846
676,1576181006
677,1577133196
678,1577138112
679,157742154X
680,1577422821
681,1577423232
682,1577421531
683,1578004306
684,1578002230
685,1578071976
686,1578071461
687,1578213959
688,1578212308
689,1578214696
690,1578482135
691,157848300X
692,1578482305
693,1578483050
694,1578482909
695,1578482984
696,1578482895
697,1578482739
698,1578900026
699,1578900018
700,1582704147
701,1582704708
702,1582705674
703,1583500251
704,1583500561
705,1584480408
706,1584481358
707,1586171941
708,1586551043
709,1586683950
710,1587270811
711,1591259886
712,1591796946
713,1592180418
714,1594444536
715,1596982004
716,1596982012
717,1598038990
718,1601400748
719,1603584803
720,1603993428
721,1603996796
722,1603993266
723,1604865229
724,160529893X
725,1605290572
726,1606732439
727,1608618897
728,1612387292
729,1421367912
730,1578482224
731,1627590803
732,1629971804
733,1629970484
734,1629971340
735,0005164850
736,1880336499
737,1885955006
738,1888568003
739,1888617098
740,188916514X
741,1891252135
742,1892309165
743,1896306918
744,1896306292
745,1896306071
746,1896306993
747,1897020600
748,1921643870
749,1930004540
750,1930612001
751,1932134670
752,1932225285
753,1932645446
754,1933424478
755,1933424338
756,1933591005
757,1578216095
758,1935515535
759,1936488264
760,193648806X
761,1936488191
762,1936906309
763,1937825469
764,1937920119
765,1938067517
766,193834037X
767,0740309323
768,381409011X
769,3812900319
770,3918810143
771,5551037568
772,5550137976
773,5553615429
774,5550211793
775,5555221916
776,5552439538
777,5554454828
778,5555084080
779,5555291744
780,5558279494
781,5554452574
782,555402128X
783,5559477400
784,5553799260
785,555987308X
786,5559203726
787,5559571741
788,5553646839
789,5559921009
790,5559778273
791,5819906179
792,581990608X
793,5819906586
794,5556000948
795,5819907027
796,6160601083
797,6162251020
798,6163271416
799,6162251012
800,6115220017
801,6163876032
802,6160418289
803,6165010083
804,6300132838
805,6300133257
806,6300133737
807,6300129373
808,616344261X
809,6165155901
810,6300133133
811,6300137236
812,6300134938
813,6300137171
814,630014738X
815,6300134210
816,6300146464
817,6300133486
818,630014996X
819,6300150151
820,6300146421
821,6300138429
822,6300147274
823,6300128628
824,630013718X
825,630012861X
826,6300134318
827,6300142256
828,6300137376
829,6300147444
830,6300149978
831,6300147630
832,6300159140
833,6300155447
834,6300147789
835,6300157601
836,6300147487
837,6300131076
838,6300155919
839,6300164616
840,630015467X
841,6300158888
842,6300141012
843,6300158411
844,6300132641
845,6300160270
846,630015386X
847,6300165760
848,6300146057
849,6300163962
850,630016389X
851,6300137511
852,6300166139
853,6300153029
854,6300147967
855,6300180247
856,6300145786
857,6300166651
858,6300181316
859,6300164373
860,6300165302
861,6300164063
862,6300167003
863,6300178161
864,6300181227
865,6300181847
866,6300151875
867,6300158772
868,6300152618
869,6300134865
870,6300181375
871,6300163687
872,6300158500
873,6300181731
874,6300151360
875,6300151891
876,6300158926
877,630018191X
878,6300181545
879,6300181898
880,6300158764
881,6300151484
882,6300165086
883,6300140938
884,6300181987
885,6300158349
886,6300181065
887,6300182029
888,630015761X
889,630018286X
890,6300182738
891,6300147355
892,6300183920
893,630018305X
894,6300182800
895,6300180204
896,6300183475
897,630015002X
898,6300184293
899,6300183033
900,6300182649
901,6300183416
902,6300184242
903,6300183769
904,6300167178
905,6300184595
906,6300183459
907,6300183432
908,6300184269
909,6300183505
910,6300183831
911,6300175197
912,6300182304
913,630018207X
914,6300175170
915,6300183785
916,6300183548
917,6300158683
918,6300182061
919,6300159159
920,6300183807
921,6300185443
922,6300185451
923,6300182517
924,6300185125
925,6300179109
926,6300185370
927,6300182681
928,6300182002
929,6300185117
930,6300185044
931,6300186806
932,6300181510
933,6300185230
934,6300185974
935,6300198200
936,6300150879
937,6300185176
938,630018904X
939,6300198537
940,6300206610
941,6300185788
942,6300189538
943,6300208117
944,630020815X
945,6300183513
946,6300182924
947,6300208060
948,6300185893
949,630020829X
950,6300208672
951,6300184900
952,6300208044
953,6300208575
954,6300198413
955,6300189082
956,630016411X
957,6300198731
958,6300208818
959,6300209237
960,6300208850
961,6300207870
962,6300208192
963,630018675X
964,6300198499
965,6300212912
966,630021320X
967,6300208591
968,6300213501
969,630018384X
970,6300182428
971,6300184250
972,6300213021
973,6300189686
974,6300207935
975,6300185885
976,6300208540
977,6300209075
978,6300214133
979,6300213641
980,6300213714
981,630021415X
982,6300213706
983,6300214338
984,6300214265
985,6300213951
986,6300213927
987,6300214508
988,6300214117
989,6300213730
990,630020992X
991,6300209369
992,6300214230
993,6300213137
994,6300214087
995,6300213986
996,6300213579
997,6300189503
998,6300183726
999,6300213897
1000,6300186180
1001,6300214222
1002,630021348X
1003,6300209253
1004,6300213560
1005,6300213900
1006,6300214893
1007,6300208419
1008,6300214737
1009,6300214028
1010,6300214567
1011,6300213803
1012,6300215202
1013,6300214958
1014,6300209296
1015,6300185206
1016,6300214346
1017,6300209164
1018,6300214613
1019,6300214648
1020,6300214192
1021,6300213056
1022,6300215520
1023,6300189856
1024,6300215555
1025,6300185869
1026,6300215598
1027,6300214680
1028,6300215806
1029,6300214044
1030,6300215849
1031,6300215601
1032,6300216209
1033,6300214052
1034,6300214184
1035,6300213781
1036,6300216284
1037,6300216527
1038,6300215903
1039,6300214664
1040,6300214583
1041,630021575X
1042,6300216497
1043,6300215350
1044,6300213943
1045,6300216144
1046,6300216306
1047,6300214575
1048,6300215245
1049,6300216705
1050,6300213587
1051,6300215660
1052,6300215954
1053,6300213749
1054,6300216861
1055,6300215490
1056,6300216535
1057,6300215989
1058,6300216071
1059,6300209830
1060,6300214672
1061,6300216055
1062,6300216950
1063,6300216179
1064,6300214311
1065,6300208931
1066,6300215628
1067,6300216454
1068,6300208443
1069,6300210685
1070,6300216586
1071,6300216721
1072,6300216047
1073,6300216241
1074,6300216977
1075,6300218074
1076,6300216853
1077,6300208354
1078,6300208664
1079,6300216543
1080,6300216489
1081,6300213404
1082,6300217027
1083,6300211649
1084,6300215458
1085,6300218120
1086,6300184803
1087,6300214974
1088,6300215970
1089,6300216918
1090,6300216764
1091,6300216934
1092,6300216691
1093,6300227049
1094,6300216438
1095,6300218031
1096,6300246817
1097,6300217515
1098,6300218228
1099,6300216225
1100,6300230066
1101,6300216373
1102,6300217620
1103,6300246876
1104,6300186016
1105,6300247406
1106,6300247392
1107,6300247333
1108,6300229491
1109,6300247139
1110,6300218090
1111,6300217728
1112,6300215261
1113,6300217388
1114,6300215857
1115,6300248097
1116,6300247090
1117,6300247651
1118,6300216594
1119,6300246795
1120,630024752X
1121,6300218406
1122,6300248089
1123,6300248488
1124,6300214559
1125,6300247171
1126,6300216799
1127,6300250164
1128,6300246973
1129,630021673X
1130,6300216632
1131,6300250512
1132,6300213323
1133,6300247597
1134,6300250172
1135,6300247821
1136,6300249964
1137,6300248135
1138,6300247589
1139,6300246868
1140,6300214710
1141,6300250407
1142,6300248216
1143,6300247694
1144,6300249824
1145,630021592X
1146,6300246787
1147,6300251748
1148,6300247236
1149,6300248100
1150,6300247163
1151,6300219658
1152,6300248607
1153,6300251969
1154,6300247104
1155,6300247031
1156,6300256200
1157,6300215695
1158,6300255980
1159,6300255905
1160,6300256073
1161,6300251853
1162,6300215962
1163,6300251330
1164,6300251217
1165,6300262294
1166,6300214621
1167,630025884X
1168,630026260X
1169,630025545X
1170,6300248356
1171,6300252310
1172,6300252558
1173,6300267830
1174,6300268853
1175,6300268535
1176,6300267962
1177,6300256286
1178,6300269124
1179,6300249816
1180,6300216748
1181,6300262545
1182,630026341X
1183,6300247945
1184,6300269485
1185,6300269701
1186,6300250873
1187,6300268144
1188,6300216756
1189,6300268799
1190,6300270122
1191,630026971X
1192,6300269965
1193,6300269671
1194,6300269477
1195,6300263150
1196,6300270106
1197,6300268748
1198,6300256359
1199,6300269841
1200,6300269221
1201,6300270211
1202,6300269469
1203,6300270068
1204,6300269434
1205,6300263444
1206,6300269833
1207,6300270424
1208,6300268012
1209,630026968X
1210,6300249867
1211,6300216608
1212,6300266826
1213,6300272966
1214,6300270564
1215,6300270912
1216,6300271102
1217,6300271307
1218,6300271838
1219,6300215881
1220,6300217604
1221,6300271749
1222,630027151X
1223,6300273210
1224,6300271951
1225,6300269450
1226,6300271358
1227,6300274195
1228,6300274268
1229,6300270149
1230,6300268683
1231,6300269418
1232,6300270300
1233,6300268756
1234,6300276554
1235,6300269280
1236,6300268128
1237,6300270580
1238,630027182X
1239,6300274586
1240,6300274608
1241,6300248569
1242,630026906X
1243,6300276740
1244,6300269299
1245,6300275035
1246,6300276945
1247,6300271528
1248,6300271668
1249,6300271579
1250,6300271706
1251,6300270270
1252,6300261808
1253,6300987493
1254,6300987531
1255,6300988805
1256,6300279928
1257,6300987787
1258,6300987485
1259,6300984869
1260,6301004965
1261,6300988600
1262,6300988597
1263,6301007360
1264,6301008618
1265,6300270327
1266,630100678X
1267,6300278506
1268,6301007042
1269,6301007433
1270,6300270130
1271,6301005783
1272,6301006798
1273,6300275310
1274,6300270505
1275,6301021029
1276,6301024435
1277,6301004981
1278,6301009096
1279,6301035828
1280,6301031474
1281,6301005376
1282,6301039041
1283,6301007883
1284,6301049284
1285,6300270297
1286,6301008944
1287,6301007581
1288,6301066162
1289,6301045734
1290,6301005538
1291,6301031350
1292,6301072669
1293,6301039459
1294,630100955X
1295,6301065573
1296,630103581X
1297,6301106415
1298,6301035623
1299,6301105915
1300,6301016416
1301,6301106490
1302,6301093526
1303,6300989003
1304,6300275116
1305,6301065565
1306,6301055365
1307,6301071395
1308,6301066685
1309,630027635X
1310,6301050886
1311,6301063058
1312,6301118251
1313,6301133471
1314,6301065557
1315,6301132742
1316,6301031458
1317,6301072642
1318,630113334X
1319,6301103408
1320,6301095294
1321,6301151321
1322,6301130391
1323,6301163788
1324,6301024451
1325,6301179544
1326,6301108108
1327,6301026128
1328,6301115899
1329,6301094999
1330,6301174240
1331,6301207947
1332,6301049764
1333,630120879X
1334,6301094328
1335,6301095200
1336,6301008960
1337,6301060938
1338,630120798X
1339,6301039009
1340,6301106482
1341,6301133404
1342,6301218809
1343,6301170113
1344,630113284X
1345,6301217861
1346,6301140869
1347,6301218159
1348,6301140842
1349,6301216121
1350,6301229096
1351,6301166671
1352,6301115538
1353,6301118413
1354,6301045742
1355,6301229606
1356,6301221923
1357,6301229371
1358,6301049292
1359,630104925X
1360,6301115678
1361,6301175239
1362,6301216601
1363,6301169786
1364,6301239571
1365,6301229495
1366,6301216318
1367,6301216237
1368,6301017072
1369,6301233166
1370,6301221486
1371,6301249038
1372,6301232038
1373,6301115880
1374,6301094352
1375,630124849X
1376,6301103513
1377,6301258746
1378,6301254899
1379,630121613X
1380,6301105931
1381,6301150953
1382,6301257049
1383,6301005740
1384,6301254961
1385,630121787X
1386,6301016998
1387,6301258401
1388,6300987590
1389,6301231783
1390,6301290836
1391,6301229452
1392,6301290933
1393,6301278461
1394,6301058283
1395,6301231848
1396,630129341X
1397,6301216113
1398,6301279654
1399,6301239598
1400,6301216563
1401,6301302990
1402,6301247590
1403,6301247345
1404,6301161521
1405,6301300548
1406,6301278429
1407,6301216156
1408,6301031431
1409,6301293320
1410,6301327683
1411,6301224620
1412,630132773X
1413,6301175220
1414,6301325540
1415,6301216210
1416,6301331389
1417,6301331362
1418,6301304977
1419,6301124537
1420,6301224612
1421,6301334523
1422,6301328000
1423,6301166736
1424,6301328329
1425,6301307208
1426,6301221494
1427,6301302982
1428,6301374274
1429,6301328515
1430,6301374126
1431,6301394747
1432,6301352173
1433,6301392469
1434,6301248236
1435,6301348281
1436,6301276736
1437,6301348869
1438,6301390628
1439,6301398998
1440,630133275X
1441,6301390725
1442,6301272250
1443,6301394429
1444,6301224701
1445,6301327705
1446,6301415817
1447,6301395018
1448,6301415396
1449,6301393945
1450,6301423941
1451,6301328450
1452,630135964X
1453,6301423704
1454,6301440056
1455,6301374223
1456,6301408926
1457,6301412761
1458,6301264177
1459,6301442768
1460,6301435184
1461,6301229398
1462,6301328477
1463,6301415159
1464,630142462X
1465,6301327977
1466,6301390768
1467,6301442733
1468,630139562X
1469,6301417216
1470,6301394046
1471,6301409388
1472,6301161580
1473,6301454901
1474,6301475534
1475,6301435192
1476,6301421191
1477,6301480422
1478,6301455169
1479,6301476166
1480,6301480392
1481,6301358570
1482,6301327691
1483,630144910X
1484,6301423682
1485,6301325397
1486,6301352211
1487,6301383869
1488,6301454766
1489,6301408977
1490,630130053X
1491,6301432819
1492,6301413075
1493,6301360966
1494,6301480406
1495,6301474961
1496,6301538250
1497,6301528565
1498,6301417097
1499,6301536827
1500,6301514025
1501,6301464303
1502,6301410831
1503,6301464966
1504,6301394542
1505,630154028X
1506,630133292X
1507,6301505638
1508,6301491920
1509,6301432827
1510,6301465601
1511,6301357256
1512,6301564472
1513,630132854X
1514,6301415302
1515,6301328507
1516,630156443X
1517,630150528X
1518,6301558448
1519,6301415841
1520,6301413024
1521,6301562313
1522,6301586026
1523,6301570723
1524,630154059X
1525,6301481356
1526,6301578848
1527,6301587383
1528,6301379616
1529,6301581474
1530,6301564456
1531,6301603478
1532,6301581563
1533,6301589068
1534,6301598946
1535,6301562925
1536,6301480473
1537,6301374290
1538,6301603389
1539,6301608054
1540,6301465628
1541,6301599225
1542,630156118X
1543,6301599462
1544,6301505662
1545,6301454308
1546,6301599918
1547,6301618033
1548,6301581385
1549,6301536940
1550,6301608534
1551,6301558359
1552,6301619544
1553,6301564480
1554,6301279727
1555,6301589106
1556,6301640586
1557,6301443837
1558,6301562216
1559,6301599314
1560,6301640799
1561,6301599004
1562,6301465016
1563,6301646096
1564,6301629787
1565,6301640780
1566,6301528581
1567,630165160X
1568,6301560620
1569,6301536789
1570,6301627288
1571,6301651960
1572,630152859X
1573,6301352181
1574,6301618688
1575,6301628543
1576,6301652037
1577,6301657543
1578,6301572793
1579,6301643410
1580,6301662954
1581,6301666720
1582,6301661710
1583,630165207X
1584,6301618602
1585,630154031X
1586,6301677994
1587,6301398912
1588,6301611810
1589,6301661850
1590,6301678141
1591,6301648560
1592,6301661737
1593,6301689984
1594,6301696166
1595,6301686977
1596,6301678036
1597,6301651847
1598,6301640659
1599,6301694007
1600,6301661729
1601,6301697308
1602,630141019X
1603,6301706811
1604,6301646053
1605,6301704754
1606,6301576810
1607,6301658795
1608,6301708075
1609,6301694074
1610,6301650697
1611,6301558308
1612,6301696735
1613,630167796X
1614,6301707990
1615,6301691687
1616,6301670124
1617,6301647742
1618,6301657780
1619,630172061X
1620,630170780X
1621,6301720555
1622,6301468783
1623,6301590740
1624,6301734815
1625,6301599454
1626,6301696190
1627,6301734726
1628,6301720571
1629,6301748107
1630,630165191X
1631,6301720407
1632,6301666569
1633,6301750705
1634,6301736303
1635,6301752708
1636,630174411X
1637,6301718275
1638,6301720385
1639,6301706498
1640,6301720539
1641,6301744128
1642,630175865X
1643,6301708261
1644,6301666666
1645,6301694147
1646,6301697758
1647,6301706471
1648,6301752643
1649,6301708113
1650,6301765974
1651,6301760395
1652,630172058X
1653,6301760379
1654,6301752694
1655,630176031X
1656,6301640594
1657,6301718941
1658,6301773586
1659,6301766261
1660,6301777476
1661,6301750667
1662,6301777387
1663,6301694015
1664,6301734777
1665,6301734785
1666,6301759281
1667,6301778367
1668,6301729897
1669,6301777840
1670,6301770986
1671,6301782666
1672,6301708032
1673,630176627X
1674,6301763424
1675,630178216X
1676,6301773578
1677,6301798023
1678,6301739655
1679,6301758110
1680,6301797949
1681,6301771435
1682,6301759079
1683,6301773632
1684,6301744136
1685,6301793196
1686,6301767918
1687,6301798171
1688,630179513X
1689,630179818X
1690,6301798678
1691,6301798201
1692,6301788508
1693,630179821X
1694,6301777875
1695,6301798740
1696,6301782712
1697,6301788494
1698,6301797965
1699,630178541X
1700,6301798058
1701,6301785436
1702,6301798686
1703,6301798066
1704,6301763041
1705,630179799X
1706,630170648X
1707,6301778359
1708,6301730038
1709,6301750721
1710,630179804X
1711,630180113X
1712,6301801709
1713,6301798279
1714,6301800982
1715,6301798643
1716,6301798805
1717,630180127X
1718,6301773500
1719,6301798694
1720,6301750748
1721,6301802268
1722,6301801148
1723,630179849X
1724,6301798945
1725,6301801288
1726,6301798287
1727,6301766180
1728,6301802497
1729,630180256X
1730,6301797973
1731,6301802640
1732,6301801571
1733,6301805194
1734,6301801725
1735,6301805615
1736,6301697723
1737,6301813480
1738,6301801253
1739,6301802357
1740,6301798260
1741,6301820932
1742,6301753534
1743,6301739647
1744,6301802373
1745,6301788486
1746,6301801946
1747,630180130X
1748,6301817761
1749,6301798732
1750,6301798147
1751,6301798589
1752,6301802489
1753,6301777492
1754,6301801954
1755,6301802012
1756,6301801083
1757,6301798902
1758,6301798562
1759,6301766210
1760,6301802322
1761,6301851293
1762,6301815807
1763,6301773551
1764,6301802748
1765,6301810678
1766,6301821122
1767,6301863208
1768,6301826558
1769,6301801849
1770,6301805372
1771,6301885538
1772,6301827643
1773,6301863194
1774,6301888898
1775,6301802535
1776,6301900154
1777,6301814010
1778,6301901282
1779,6301868684
1780,6301805429
1781,6301798961
1782,6301912373
1783,6301912381
1784,6301900596
1785,6301902645
1786,630191029X
1787,6301920376
1788,6301896424
1789,6301913949
1790,6301914120
1791,6301801652
1792,6301758641
1793,6301928512
1794,6301802020
1795,6301928679
1796,6301928490
1797,6301925769
1798,6301928555
1799,6301930010
1800,6301929942
1801,6301930088
1802,6301914090
1803,6301903285
1804,6301931645
1805,6301932420
1806,630193055X
1807,630193413X
1808,6301863186
1809,6301928652
1810,6301933869
1811,630191399X
1812,630191564X
1813,630192875X
1814,6301934121
1815,6301916050
1816,6301928970
1817,6301930037
1818,6301928423
1819,6301945298
1820,6301929225
1821,6301933885
1822,6301955188
1823,6301954890
1824,6301932838
1825,6301934156
1826,6301931025
1827,6301952529
1828,6301928156
1829,6301959949
1830,6301934288
1831,6301942671
1832,6301928008
1833,6301934903
1834,6301929810
1835,6301928180
1836,6301948319
1837,6301963660
1838,6301948262
1839,6301964233
1840,6301964217
1841,6301964292
1842,6301959981
1843,6301930592
1844,6301964144
1845,6301959728
1846,6301963717
1847,6301930908
1848,6301964098
1849,6301961412
1850,630194299X
1851,6301966074
1852,6301901274
1853,6301964411
1854,6301963725
1855,6301965965
1856,6301965639
1857,6301960084
1858,6301966295
1859,6301945085
1860,6301917588
1861,630196697X
1862,630195517X
1863,6301966465
1864,6301966708
1865,6301930789
1866,6301933532
1867,6301961439
1868,6301964187
1869,6301942728
1870,6301945301
1871,6301967364
1872,6301967801
